Ticker,Current,Prior_Year,3_Years_Ago,Prior_Year_Q3,Current_Year_Q3,QoQ_Change,Historical_CAGR_3YR,Growth_2023,Growth_2024,Growth_2025,Estimate_2023,Estimate_2024,Estimate_2025,Forward_PEG_12M,Forward_PEG_24M,Current_PEG,Industry_PEG,ROE_PY,Cash_Equivalents,Current_Assets,Current_Liabilities,Non_Current_Assets,Non_Current_Liabilities,Equity,Current_Ratio,Debt_Equity_Ratio,Operating_Margin,Net_Margin,ROE,Total_Debt,Total_Cash,EBITDA,Interest_Expense
APD,12037300224,12698600000.0,12600000000.0,3022700000.0,,,-0.01511350475395834,0.007825396825396735,-0.05207658923030889,,,,,,,,,,,,,,,,,,-0.89169,-0.03277,-0.01923,18430300160,1869100032,751600000,214000000.0
ALB,4946415104,7320104000.0,9617203000.0,1329992000.0,,,-0.19878834395038059,-0.23885312600763442,-0.32426983223189176,,,,,,,,,,439272000.0,,,,,,,,-0.02244,-0.00428,0.00209,3764165888,1931757952,696873984,165619000.0
ARE,3058394880,2108249000.0,2576040000.0,743175000.0,,,0.058880584500341504,-0.18159306532507258,0.4506801046745428,,,,,,,,,,,,,,,,,,0.19073,-0.13436,-0.01084,13955526656,579473984,1958758016,185838000.0
BAX,11022999552,12146000000.0,10057000000.0,2625000000.0,,,0.031043795669836838,0.20771601869344725,-0.09245845941050557,,,,,,,,,,,,,,,,,,0.10123,-0.030940002,-0.04658,9712000000,1726000000,2074000000,408000000.0
BA,80756998144,66608000000.0,77794000000.0,22749000000.0,,,0.012538055624243372,-0.1437900095123017,0.21242190343502276,,,,,,,,,,,,,,,,,,-0.204,-0.12197,,55702999040,22275000320,-6153999872,2725000000.0
BXP,3425025024,2888621000.0,3108581000.0,865215000.0,,,0.032841913369313636,-0.07075897330647007,0.1856955356898673,,,,,,,,,,,,,,,,,,0.28563,-0.058509998,-0.01883,17356404736,861265024,1903377024,645117000.0
CZR,11368999936,9570000000.0,10821000000.0,2794000000.0,,,0.01660355093446797,-0.11560853895203771,0.18798327439916407,,,,,,,,,,,,,,,,,,0.17881,-0.0212,-0.04259,25734000640,836000000,3467000064,2377000000.0
CNC,167680000000,125982000000.0,144547000000.0,46620000000.0,,,0.05072902101925969,-0.12843573370599182,0.3309837913352702,,,,,,,,,,,,,,,,,,0.0054699997,-0.03155,-0.2186,17582999552,19236999168,3902000128,702000000.0
CRL,4023704064,3540160000.0,3976060000.0,984168000.0,,,0.003978395597258544,-0.1096311423871873,0.136588194883847,,,,,,,,,,,,,,,,,,0.15772,-0.020450002,-0.021879999,2631273984,207096992,886190976,126288000.0
